-like	sؤپn<br><br>
contents	mazmun; mofؤپdd; mohtaviyؤپt<br><br>
conterminous	hammarz; motalؤپqi<br><br>
contest	da'vؤپ; eâ€™terؤپz dؤپإ،tan; jadal kardan; mosؤپbeqe; moإ،ؤپjere; reqؤپbat; setiz; setize kardan<br><br>
contestant	mosؤپbeqedehande<br><br>
contestation	morؤپfee; reqؤپbat<br><br>
contesting	mosؤپbeqeâ€Œi<br><br>
context	matn; matn (motun); mofؤپdd; zamine<br><br>
contexture	bؤپft<br><br>
contiguity	tamؤپs<br><br>
contiguous	hamjavؤپr; mojؤپver<br><br>
continence	parhizة،ؤپri; xiإ،tandؤپri<br><br>
continent	eqlim; qؤپrre; xoddؤپr<br><br>
continental	eqlimi; qؤپrrei<br><br>
contingent	mohtamel<br><br>
continual	dؤپemi; lؤپyanqate'; modؤپm<br><br>
continuation	edؤپme; mؤپba'd; poإ،tband; tadؤپvom; tamdid; ta'qib<br><br>
continuation of one's journey	edؤپme-ye safar<br><br>
continue	edؤپme dؤپdan<br><br>
continued	davؤپmdؤپr; lؤپyanqate'; mosalsal<br><br>
continuing	modؤپvem; mosalsal<br><br>
continuity	estemrؤپr; peyvasteة،i; tasalsol<br><br>
continuos	mostamarr<br><br>
continuous	estemrؤپri; modؤپvem; mostamar; mostamarr; motevؤپli; peyvaste; poإ،tesarhؤپm<br><br>
continuously	bivaqfe; peyvaste<br><br>
continuum	peyvasteة،ؤپn; reإ،te-yeâ€Œ mosalsal; tasalsol; zanjire<br><br>
contort	kaj kardan; nؤپhamvؤپr kardan; picؤپndan<br><br>
contortion	إ،ekanj<br><br>
contortionist	bandbؤپz<br><br>
contour	haddefؤپsel; kontor; naqqؤپإ،i kardan<br><br>
contraband	jens-e qؤپcؤپq; kؤپlؤپ-ye qؤپcؤپq; qؤپcؤپq<br><br>
contraception	jelowgiri az ؤپbestani<br><br>
contraceptive	vasile-ye jelowgiri az hؤپmelegi<br><br>
contract	aqdnؤپme; kontorؤپt; monqabez kardan; monqabez إ،odan; moqؤپtee; peymؤپn; qarؤپrdؤپd<br><br>
contracting	peymؤپnkؤپri<br><br>
contraction	edqؤپm; enqebؤپz; extesؤپr<br><br>
contractor	moqؤپteekؤپr; moqؤپteekؤپri; peymؤپnkؤپr<br><br>
contractual	peymؤپni<br><br>
contradict	moqؤپyer budan<br><br>
contradiction	moqؤپyerat; taؤپroz; tanؤپqoz; tazؤپd(d); tazؤپdd<br><br>
contradictions	tanؤپqozؤپt<br><br>
contradictory	moqؤپyer; zeddonaqiz<br><br>
contradistinction	tamiz<br><br>
contraption	tadbir<br><br>
contrariwise	bar'aks<br><br>
contrary	ma'kus; moqؤپbel; moqؤپbel(-e); moqؤپyer; motezؤپd(d); moxؤپlef; moxؤپlef(-e) (moxؤپlefin); xalؤپf<br><br>
contrary to	alؤپraqm(-e); moxؤپlef; moxؤپlef(-e) (moxؤپlefin)<br><br>
contrast	barؤپbar kardan; moqؤپbele; moqؤپbele kardan; moqؤپyese kardan; sؤپyerowإ،an; taqؤپbol; tazؤپdd<br><br>
contravene	naqz kardan; taxatti kardan<br><br>
contravention	naqz<br><br>
contretemps	badإ،ؤپnsi<br><br>
contribute	eؤپne dؤپdan; hambaxإ،i kardan; hamkؤپri kardan; إ،erkat kardan<br><br>
contributed	anjؤپmide<br><br>
contribution	eؤپne; sahm; sahm (sahؤپm); sahmi<br><br>
contributor	eؤپnedehande; hambaxإ،gar; moإ،ؤپrekatkonande; إ،erkatkonande<br><br>
contrite	paإ،imؤپn<br><br>
contrition	nedؤپmat; paإ،imؤپni; towbe<br><br>
contrivance	tadbir; tamhid<br><br>
contrive	taâ€™biye kardan; tadbir kardan<br><br>
control	bؤپzbini; bؤپzresi; bؤپzresi kardan; kؤپrbari; kontorol; kontorol kardan; nezؤپrat; nezؤپrat kardan; taftiإ،; tanzim kardan<br><br>
control room	otؤپqefarmؤپn<br><br>
controllable	kontorolpazir<br><br>
controlled	kontorolإ،ode<br><br>
controller	bؤپzres<br><br>
controversial	bahsanة،iz; bahsbaranة،iz; janjؤپlؤپfarini; janjؤپlbarangiz; janjؤپlbaranة،izi; janjؤپli<br><br>
controversy	extelؤپf-e nazar; jadal; jedؤپl; mobؤپhese; moإ،ؤپjere<br><br>
contumacy	fؤپl-e varaq<br><br>
contumely	xeffat<br><br>
contuse	kuftan; kuftan (kub); leh kardan; zarbat zadan<br><br>
contusion	kufteة،i; zarb; zoqte<br><br>
conundrum	cistؤپn<br><br>
convalesce	إ،afؤپ yؤپftan<br><br>
convalescence	dowrؤپn-e neqؤپhat<br><br>
convene	gerd ؤپmadan; monâ€™aqed kardan; mon'aqed kardan<br><br>
convened	mojtama'<br><br>
convenience	ؤپsudegi; rؤپhati; tashilؤپt<br><br>
convenient	monؤپseb; rؤپhat<br><br>
convent	deyr; xؤپnqؤپh<br><br>
convention	hamؤپyeإ،; konvؤپnsiyon; majma'; majma' (majؤپme'); peymؤپn; peymؤپnnؤپme; qarؤپrdؤپd; tavؤپfoqnؤپme<br><br>
conventional	ma'mul; moteؤپref; qeyreatomi; sonnati<br><br>
convergence	hamgar; hamة،erؤپyi; taqؤپrob<br><br>
convergent	hamة،erؤپ; hamة،erؤپyؤپne<br><br>
conversable	xoإ،sohbat<br><br>
conversance	tabahhor<br><br>
conversancy	tabahhor<br><br>
conversant	basir; motebahher; vؤپred<br><br>
conversation	goftogu; ة،oftoة،u; goftoإ،enud; mohؤپvere; mokؤپleme; sohbat<br><br>
converse	ؤپmizeإ،; sohbat; sohbat kardan; soxan goftan; soxanrؤپni kardan; vؤپrune; vؤپإ¾ة،un<br><br>
conversely	bel'aks<br><br>
conversion	tabdil; taqyir<br><br>
convert	bar gardؤپndan; be kiإ،-e digar-i ؤپvardan; tabdil kardan; tؤپzekiإ،; vؤپrune kardan<br><br>
converted	jazbإ،ode<br><br>
converted to	tabdilإ،ode<br><br>
converter	barة،ardؤپnande; moqalleb; tabdilkonande<br><br>
convertible	taqyirpazir<br><br>
converting	moqalleb<br><br>
convex	kuإ¾; mohaddab<br><br>
convexity	kuإ¾i<br><br>
convey	bordan; enteqؤپl; haml kardan; naql kardan; resؤپndan<br><br>
conveyance	sanad-e enteqؤپl<br><br>
conveyor	hؤپmel<br><br>
convict	jؤپni; mahbus; mahkum; mahkum kardan; mojrem; mottaham kardan; sarzaneإ، kardan<br><br>
convicted	mahkum<br><br>
conviction	mahkumiyat; tasaddoq<br><br>
convictions	mo'taqedؤپt<br><br>
convince	mojؤپb kardan; moteqؤپed kardan; qؤپne' kardan; qؤپneâ€™ kardan<br><br>
convinced	mo'taqed; moteqؤپed<br><br>
convincing	qؤپne'konande<br><br>
convoluted	halqavi<br><br>
convolution	picideة،i<br><br>
convoy	badraqe; badraqe kardan; kؤپrvؤپn<br><br>
convulsion	taإ،annoj<br><br>
convulsive	moteإ،annej; tekؤپndehande<br><br>
cook	ؤپإ،paz; ؤپإ،pazi kardan; dorost kardan (kon); poxtan; poxtan (paz); tabx kardan<br><br>
cookbook	ketؤپb-e ؤپإ،pazi<br><br>
cooked	poxte<br><br>
cooked rice	celow<br><br>
cooker	ojؤپqbarqi; polowpaz; xorؤپkpaz<br><br>
cookery	ؤپإ،pazi; ؤپإ،pazxؤپne<br><br>
cookie	biskuyit; koluce; kuki; إ،irini; إ،irini-ye xoإ،k<br><br>
cookies	nؤپnإ،irini<br><br>
cooking	ؤپإ،pazi; poxt; poxtopaz; tabbؤپxi; tabx<br><br>
cooking oil	rowqan-e xorؤپki<br><br>
cooky	biskuyit; koluce; إ،irini-ye xoإ،k<br><br>
cool	ؤپrؤپm kardan; cؤپyidan; sard; xonak; xunsard<br><br>
cool down	sard kardan; sard إ،odan<br><br>
cool drink	nuإ،ؤپbe-ye xonak<br><br>
cool-headed	xؤپterjamâ€™<br><br>
coolant	sardkonande<br><br>
cooler	kuler; sardkon; sardkonande<br><br>
coolie	bؤپrbar; hammؤپl<br><br>
cooling	xonakkon<br><br>
coolly	xunsardi<br><br>
coolness	sardi; xonaki; xunsardi<br><br>
coop	ؤپqol-e gusfand; mahbus kardan<br><br>
cooperate	bؤپ ham kؤپr kardan; eإ،terؤپk-e masؤپi kardan; hamdasti kardan; hamkؤپri kardan; hamyؤپri kardan; taؤپvon kardan; taإ،rik-e masؤپi kardan<br><br>
cooperation	hamdasti; hamkؤپri; hamyؤپri; taؤپvon; taإ،rikemasؤپi<br><br>
cooperative	إ،erekattaؤپvoni; إ،erkat-e taؤپvoni<br><br>
cooperator	hamkؤپrikonande<br><br>
coordinate	hamؤپhang kardan; hampؤپye; motenؤپseb kardan; moxtasؤپt<br><br>
coordinated	hamؤپhang; hamؤپhanة،; hamؤپhanة،إ،ode<br><br>
coordination	hamؤپhangi; hamؤپhanة،i<br><br>
coordinator	hamؤپhangkonandeâ€Œ; hamؤپhanة،konande; taâ€™dilkonandeâ€Œ<br><br>
cootie	إ،epeإ،<br><br>
cop	ؤپإ¾ؤپn; pؤپsbؤپn; polis<br><br>
copaiba	marham<br><br>
coparcener	anbؤپz<br><br>
cope	az ohde bar ؤپmadan; kenؤپr ؤپmadan<br><br>
cope with	az ohde barؤپmadan<br><br>
coplanarity	hamsathi<br><br>
copper	mes<br><br>
copper coinage	paإ،iz<br><br>
coppersmith	mesة،ar; mesة،ari<br><br>
coppery	mesi<br><br>
copse	إ،aqؤپyeq<br><br>
copter	helikopter<br><br>
copulate	jemؤپâ€™ kardan<br><br>
copulation	jemؤپ'<br><br>
copulative	rؤپbet<br><br>
copy	fotokopi; fotokopi kardan; jeld; kopi; kopi bardؤپإ،tan; kopi kardan; mosavvade; nosxe; nosxe (nosax); nosxebardؤپri; runeveإ،t; runeveإ،t bar dؤپإ،tan; runevisi kardan<br><br>
copy right	kopirؤپyt<br><br>
copying	kopibardؤپri<br><br>
copyright	haqq-e cؤپp; haqq-e tabâ€™-o naإ،r; kopirؤپyt<br><br>
coquet	lavand; nؤپz kardan; tannؤپzi kardan<br><br>
coquetry	delbari; eإ،ve; kereإ،me; nؤپz<br><br>
coquette	eإ،vegar; lavand<br><br>
coquettish	eإ،vegar<br><br>
coral	marjؤپn; marjؤپni<br><br>
cord	noxؤپ'; rismؤپn; sim; xit<br><br>
cordial	qalbi<br><br>
cordiality	xunة،armi<br><br>
cordially	qalban<br><br>
cordon	qeytؤپn<br><br>
core	canbare; haste<br><br>
coriander	gaإ،niz; geإ،niz; ة،eإ،niz<br><br>
cork	cubpanbe<br><br>
corking	xeyl-i xub<br><br>
corn	qalle; zorrat<br><br>
corner	guإ،e; ة،uإ،e; konj; korner; nabإ،; zؤپvie<br><br>
corners	ة،uإ،evokenؤپr<br><br>
cornerstone	asؤپs; إ،ؤپlude<br><br>
cornflakes	bereإ،tuk<br><br>
cornice	katibe<br><br>
corns	mixce<br><br>
corny	carand<br><br>
corollary	estenbؤپt; far'<br><br>
coroner	pezeإ،k-e qؤپnuni<br><br>
corporal	badani; jesmi; sarjuxe<br><br>
corporality	badan; yesmؤپniyat<br><br>
corporate	dؤپrؤپ-ye إ،axsiyat-e hoquqi; إ،erkathؤپ-ye bozorg; yekiإ،ode<br><br>
corporation	bonة،ؤپh; إ،erkat; إ،erkat-e sahؤپmi<br><br>
corporative	إ،erkati<br><br>
corporeal	jesmؤپni; jesmi<br><br>
corps	laإ،kar; sepؤپh<br><br>
corpse	jasad; jasad (ajsؤپd); jenؤپze; lؤپإ،e; mordؤپr; na'إ،<br><br>
corpulence	jasؤپmat; tanumandi<br><br>
corpulency	jasؤپmat; tanumandi<br><br>
corpus	jesm; jesm (ajsؤپm); tan<br><br>
corpuscle	ة،olobul; zarre (zarrؤپt)<br><br>
corral	ؤپqol; ehؤپte kardan<br><br>
correct	dorost; eslؤپh kardan; eslؤپh kardan (kon); qalatgiri kardan; sahih; tashih kardan<br><br>
corrected	eslؤپhإ،ode; tashihإ،ode<br><br>
correction	eslؤپh; eslؤپh (eslؤپhؤپt); qalatgiri; tashih<br><br>
correctly	dorost<br><br>
correctness	dorosti; sehhat<br><br>
corrector	tanzimkonandeâ€Œ<br><br>
correlated	hambaste<br><br>
correlation	bastegi-ye do ciz bؤپ ham; ertebؤپt; hambastegi; hambasteة،i; rabt<br><br>
correlative	jofti<br><br>
correspond	barؤپbar budan; be ham marbut budan; mokؤپtebe kardan; moإ،ؤپbeh budan; motؤپbeq budan; nؤپmenegؤپri kardan; rؤپbeteâ€Œ dؤپإ،tan<br><br>
correspondence	mokؤپtebe; mokؤپtebe (mokؤپtebؤپt); motؤپbeqat; nؤپmenegؤپri; taإ،ؤپboh<br><br>
correspondency	taإ،ؤپboh<br><br>
correspondent	makؤپteb; mokؤپtebekonandeâ€Œ; monؤپseb; motؤپbeq; moxber; sؤپzة،ؤپr; taraf-e moؤپmele; taraf-e mokؤپtebe; xabarneة،ؤپr; xoإ،ؤپyand<br><br>
corridor	dؤپlؤپn; dehliz; koridor; rؤپhrow<br><br>
corrigibility	eslؤپhpaziri<br><br>
corrival	reqؤپbat kardan<br><br>
corroborant	ta'yidkonande<br><br>
corroborate	esbؤپt kardan; taâ€™yid kardan<br><br>
corroborated	moإ،addad<br><br>
corrode	xordan; zang zadan<br><br>
corroded	puside<br><br>
corrosion	fesؤپd-e tadriji; tahlil; zang; zanة،; zangzadegi; zanة،zadeة،i<br><br>
corrosive	xorande<br><br>
corrugated	cindؤپr; rؤپh-rؤپh<br><br>
corrugation	mowj; إ،iyؤپr<br><br>
corrupt	fؤپsed; fؤپsed kardan; mofsed; reإ،vexؤپr<br><br>
corrupted	xarؤپb<br><br>
corruption	bؤپjة،iri; fesؤپd; mafؤپsed; reإ،vexؤپri<br><br>
corselet	korset; zereh<br><br>
corset	korset<br><br>
cortege	moltazemin<br><br>
cortex	rupuإ،<br><br>
cortical	pusti<br><br>
coruscate	barq zadan; tؤپbidan<br><br>
corvee	soxre<br><br>
corvine	kalؤپqi<br><br>
coryphaeus	sarؤپmad<br><br>
cosh	إ،anة،ul<br><br>
cosmetics	lavؤپzem-e ؤپrؤپyeإ،<br><br>
cosmic	keyhؤپni<br><br>
cosmogony	keyhؤپnإ،enؤپsi<br><br>
cosmologist	keyhؤپnإ،enؤپs<br><br>
cosmology	keyhؤپnإ،enؤپsi<br><br>
cosmonaut	keyhؤپnnavard<br><br>
cosmopolitan	beynolmelali; jahؤپnvatani<br><br>
cosmos	ؤپlam; kؤپenؤپt; keyhؤپn<br><br>
cost	arzeإ، dؤپإ،tan; arzidan (arz); bahؤپ; hazine; tamؤپm إ،odan; xarj; xarj (maxؤپrej); xarj dؤپإ،tan<br><br>
cost accountant	hesؤپbdؤپr<br><br>
cost accounting	hesؤپbdؤپri<br><br>
cost of living	xarj-e zendegi; xarji<br><br>
costa	dande; zel'<br><br>
costal	dandei<br><br>
costermonger	tavؤپf<br><br>
costive	yobs<br><br>
costly	fؤپxer; ة،azؤپf; ة،erؤپn; hazine bar; hazinebar; hazinebardؤپr; porhazine<br><br>
costume	kotdؤپman; lebؤپs; lebؤپs-e mahalli<br><br>
costumer	jؤپraxti<br><br>
cot	taxtexؤپb-e bacce<br><br>
coterminous	hammarz<br><br>
cotoneaster	إ،irxeإ،t<br><br>
cottage	kolbe<br><br>
cotton	nax; naxi; panbe; panbei<br><br>
cotton candy	paإ،mak<br><br>
cotton summer	ة،ive<br><br>
cotton swab	ة،uإ،pؤپkkon<br><br>
cottony	panbei<br><br>
cotyledon	lappe<br><br>
couch	kؤپnؤپpe; masnad; nimkat; xazidan<br><br>
cough	atse kardan; jaraqqe; solfidan; solfidan (solf); sorfe; sorfe kardan<br><br>
cough lozenge	ؤپbnabؤپt-e zeddesorfe<br><br>
cough syrup	إ،arbat-e sorfe<br><br>
council	majles; moإ،ؤپvere; إ،owrؤپ<br><br>
councillor	mostaإ،ؤپr; rؤپyzan<br><br>
councilor	moإ،ؤپver; mostaإ،ؤپr; rؤپyzan<br><br>
counsel	andarz; maslehatandiإ،i; maإ،verat; rؤپyzani; towsiye kardan<br><br>
counseling	moإ،ؤپverat<br><br>
counselor	moإ،ؤپver; mostaإ،ؤپr; rؤپyzan<br><br>
count	be hesؤپb ؤپmadan (ؤپ); hesؤپb kardan; kont; pendؤپإ،tan; إ،emordan; إ،emordan (إ،emor); إ،omؤپr<br><br>
count word for aircraft	farvand<br><br>
count word for animals	raâ€™s<br><br>
countenance	qiyؤپfe; rox; simؤپ; taإ،viq kardan<br><br>
counter	bؤپje; basؤپt; bel'aks; giإ،e; javؤپb dؤپdan; piإ،xؤپn; إ،omؤپrande; talؤپfi kardan; إ¾eton<br><br>
counteract	xonsؤپ kardan<br><br>
counteractive	xonsؤپkonande<br><br>
counterbalance	movؤپzene; movؤپzeneâ€Œ kardan<br><br>
countercheck	aqim kardan; dafâ€™ kardan; jelogiri; jelowgiri; jolowgiri<br><br>
counterfeit	jaâ€™l kardan; ja'l kardan; ja'li; qalb; taqallobi<br><br>
counterfeit banknote	eskenؤپs-e taqallobi<br><br>
counterfeit money	pul-e ja'li; pul-e taqallobi<br><br>
counterfeiting	ja'l<br><br>
counterfoil	tahqabz<br><br>
countermand	fasx kardan; laqv kardan<br><br>
counterpane	rutaxti<br><br>
counterpart	hamtؤپ; runeveإ،t<br><br>
counterpoise	vazn kardan<br><br>
counting	ehtesؤپb; ruzإ،omؤپri; إ،omؤپrdan; إ،omؤپreإ،; إ،omؤپrة،ar<br><br>
countless	biإ،omؤپr<br><br>
country	dehؤپt; diyؤپr; keإ،var; mamlekat (mamؤپlek); sؤپmؤپn; sarzamin; yeylؤپq<br><br>
country house	xؤپne-ye yeylؤپqi<br><br>
countryman	hammihan; hamvatan<br><br>
countryside	humeâ€Œ-ye إ،ahr; yeylؤپqؤپt<br><br>
countrywoman	hammihan; hamvatan<br><br>
county	baxإ،; إ،ahrestؤپn; إ،ahrestؤپni<br><br>
coup	kudetؤپ<br><br>
coup d'etat	kudetؤپ<br><br>
coupe	kupe<br><br>
couple	donafari; jemؤپâ€™ kardan; joft; joft kardan; vasl kardan; zanoإ،owhar; zowj; zowj (zowjؤپt)<br><br>
coupler	mottaselkonande<br><br>
couples	zowyeyn<br><br>
couplet	dobeyti<br><br>
coupling	ettesؤپl; jؤپles; joft; sarpic<br><br>
coupon	bon; kopen; kopon<br><br>
courage	daliri; delؤپvari; jor'at; reإ،ؤپdat; إ،ahؤپmat; إ،ojؤپ'; إ،ojؤپat; tahavvor<br><br>
courageous	bؤپإ،ahؤپmat; bibؤپkؤپne; dalir; إ،ojؤپ'; إ،ojؤپؤپne<br><br>
courageously	dalirؤپne<br><br>
courier	peyk<br><br>
course	ؤپmuze; dar tey-e; dowre; dowre-ye ؤپmuzeإ،i; kelؤپs; osul; xatteseyr; yaryؤپn<br><br>
courses	dorus<br><br>
court	arse; bؤپrة،ؤپh; dؤپdgؤپh; dؤپdة،ؤپh; dؤپdsarؤپ; darbؤپr; divؤپn; ezhؤپr-e eإ،q; hayؤپt; mahkame<br><br>
court of justice	mahkame<br><br>
courteous	bؤپadab; moaddab; moaddabؤپne<br><br>
courtesy	adab; adab (ؤپdؤپb); mardomi; nezؤپkat; taؤپrof; tavؤپzo'<br><br>
courthouse	dؤپdة،ؤپh<br><br>
courtier	darbؤپri<br><br>
courtly	bؤپvaqؤپr; xؤپsegi<br><br>
courtroom	dؤپdة،ؤپh; otؤپq-e dؤپdgؤپh<br><br>
courtship	ezhؤپr-e eإ،q; moؤپإ،eqe; yoftyؤپbi<br><br>
courtyard	andaruni; hayؤپt<br><br>
cousin	amuzؤپde; doxtaramme; doxtar'amme; doxtaramu; doxtar'amu; doxtardؤپyi; doxtarxؤپle; pesaramme; pesaramu; pesardؤپyi; pesarxؤپle; pesؤپrxؤپle<br><br>
cove	yؤپru<br><br>
covenant	ahd; peymؤپn<br><br>
cover	farإ،; jeld; jeld kardan; laffؤپf; lؤپpuإ،ؤپni; pؤپkat; penhؤپn kardan; puإ،ؤپndan; puإ،eإ،; puإ،eإ،i; puإ،idan; qalؤپf; qeإ،ؤپ; rukeإ،; rupuإ،; ruye; saqf; sar; sarpuإ،; sarpuإ،i; taâ€™min kardan; tey kardan<br><br>
coverage	puإ،eإ،; إ،omul<br><br>
coveralls	rulebؤپsi<br><br>
covered	mastur; puإ،ؤپnide; sarpuإ،ide<br><br>
covering	darbarة،irande; puإ،e; puإ،eإ،; puإ،eإ،dehande; إ،ؤپmel; sarpuإ،<br><br>
coverlet	lahؤپf<br><br>
covert	nahؤپn; penhؤپni; puإ،ide<br><br>
coverture	saqf<br><br>
cow	gؤپv; ة،ؤپv; gؤپv-e mؤپde<br><br>
cow dung	pehen-e gؤپv<br><br>
cow game	ة،ؤپvbؤپzi<br><br>
coward	bozdel; nؤپkes; nؤپmard; tarsu; xardel<br><br>
cowardice	bozdeli; jobn; nؤپmardi; zabuni<br><br>
cowardly	bozdelؤپne; nؤپjavؤپnmardؤپne; nؤپmardؤپne; xardel<br><br>
cowboy	ة،ؤپvcerؤپn; ة،ؤپvcerؤپni<br><br>
cower	az tars dolؤپ إ،odan<br><br>
cowhand	ة،ؤپvcerؤپn<br><br>
cowherd	ة،ؤپvcerؤپn<br><br>
cowl	rؤپheb<br><br>
cowshed	gؤپvdؤپni<br><br>
coy	nؤپzkonؤپn; xejؤپlati<br><br>
cozy	denj; garmonarm; rؤپhat<br><br>
crab	jer zadan; saratؤپn; xarcang; xarcanة،<br><br>
crack	jer; rexne; إ،ekؤپf; tarak; xiz; xizeإ،<br><br>
crack up	motelؤپإ،i إ،odan; xande kardan<br><br>
crackdown	saxtة،iri<br><br>
cracked	tarakxorde<br><br>
cracker	taraqqe<br><br>
crackle	taraqqe<br><br>
crackpot	xal<br><br>
cracksman	إ،abة،ard<br><br>
cradle	gahvؤپre; ة،ahvؤپre; ة،ؤپhvؤپre; mahd; nanu<br><br>
cradlesong	lؤپlؤپyi<br><br>
craft	honar; piإ،e; piإ،evari; san'at (sanؤپye')<br><br>
craftiness	mokؤپri<br><br>
crafts	honarhؤپ-ye dasti<br><br>
craftsman	honarmand; ostؤپdkؤپr; piإ،evar<br><br>
craftsmanship	ciredasti<br><br>
crafty	bؤپmahؤپrat; faribande<br><br>
crag	kamar; taxteâ€Œsang<br><br>
cram	cepؤپndan; cepؤپndan (cepؤپn)<br><br>
cramp	gefertegi-ye azolؤپni; mahdudkonande<br><br>
cramps	delpice<br><br>
crane	jaresaqil; jarsaqil<br><br>
cranium	jomjome<br><br>
crank	hendel; kuk kardan; millanة،; xam; xam kardan<br><br>
crankle	picoxam<br><br>
crankshaft	millanة،<br><br>
cranky	badaxlؤپq; bad'axm; bad'onoq; badxu<br><br>
crap	carand; carandiyؤپt<br><br>
crapulence	xomؤپri<br><br>
crash	darham إ،ekastan; jؤپrojanjؤپl; nؤپxؤپnde vؤپred إ،odan; riz-riz إ،odan; sarosedؤپ; soqut; soqut kardan; tasؤپdom; tasؤپdom kardan; xord kardan<br><br>
crash landing	soqut kardan<br><br>
cratch	cؤپhؤپrub<br><br>
crate	abuqorؤپze<br><br>
cravat	kerؤپvؤپt<br><br>
craven	إ،ekastxorde; xardel<br><br>
craving	vala'<br><br>
crawl	sineâ€Œmؤپl raftan; sinexiz raftan; xazidan; xazidan (xaz); xazide<br><br>
crawled	sinexiz<br><br>
crawling	xazande<br><br>
crayfish	xarcanة،<br><br>
crayon	naqqؤپإ،i kardan<br><br>
craze	divؤپneâ€Œ kardan; divؤپnegi; إ،owq<br><br>
crazing	carande<br><br>
crazy	divؤپne; divؤپnevؤپr; majnun; إ،uride<br><br>
cream	kerem; sarإ،ir; xؤپme; zobde<br><br>
cream bread	nؤپnxؤپmei<br><br>
cream cake	keyk-e xؤپmei<br><br>
cream pie	keyk-e xؤپmei<br><br>
cream-colored	keremrang<br><br>
Creamer	إ،irdؤپn<br><br>
creamery	labaniyؤپti<br><br>
creamy	إ،iriranة،; xؤپmei<br><br>
crease	cin; coruk kardan; coruk إ،odan; إ،ekan<br><br>
create	ؤپfaridan; ؤپfaridani; be vojud ؤپvardan; farؤپham kardan; ijؤپd kardan; nؤپgahؤپn ijؤپd إ،odan; sؤپxtan; sereإ،tan; xalq kardan<br><br>
created	ؤپfaride; ijؤپdإ،ode; padid<br><br>
created or canceled	barpؤپإ،ode<br><br>
creating	xؤپleq<br><br>
creation	ؤپfarineإ،; ijؤپd; xalq; xelqat<br><br>
creative	ؤپfarinande; xؤپleq; xallؤپq; xallؤپqؤپne; xallؤپqe<br><br>
creativeness	ؤپfarinandeة،i<br><br>
creativity	ؤپfarinandeة،i; qovve-ye xallؤپqe; xallؤپqiyat<br><br>
creator	ؤپfaridegؤپr; ؤپfarideة،ؤپr; ؤپfarinande; bevojudؤپvarande; ijؤپdkonande; moasses; xؤپleq; xؤپleq (xؤپleqin)<br><br>
creature	ؤپfaride; jؤپnevar; maxluq; mowjud; mowjud (mowjudؤپt); mowjud-e zende; sereإ،t; xalؤپyeq<br><br>
creatures	mowjudؤپt<br><br>
credence	bؤپvar; e'temؤپd; e'teqؤپd<br><br>
credential	govؤپhinؤپme; ة،ovؤپhinؤپme<br><br>
credibility	e'tebؤپr; e'tebؤپr (e'tebؤپrؤپt); vejؤپhat<br><br>
credible	bؤپvarkardani; moâ€™tabar; mo'tabar; movassaq<br><br>
credit	e'tebؤپr; e'tebؤپr (e'tebؤپrؤپt); e'tebؤپri; nesbat dؤپdan; nesye; vؤپm; xoإ،nؤپmi<br><br>
credit card	kؤپrt-e e'tebؤپri<br><br>
creditable	mo'tabar<br><br>
creditor	bestؤپnkؤپr; talabkؤپr<br><br>
credits	bestؤپnkؤپri; titrؤپإ¾<br><br>
credo	imؤپn<br><br>
credulity	sؤپdelowhi; zudbؤپvari<br><br>
credulous	sؤپdelowh; xoإ،bؤپvar; xoإ،bؤپvari; zudbؤپvar<br><br>
creed	kiإ،; mellat<br><br>
creek	nahr<br><br>
creep	murmur إ،odan; sineâ€Œmؤپl raftan; sinexiz raftan; xazidan<br><br>
creeper	xazande<br><br>
creeping	xazande<br><br>
creepy	vahإ،atzade; xazande<br><br>
creesh	cؤپq; carb<br><br>
crenellate	mostahkam kardan<br><br>
crepuscle	إ،afaq<br><br>
crepuscule	إ،afaq<br><br>
cress	إ،ؤپhi<br><br>
cresset	maإ،'al<br><br>
crest	torre; yؤپl<br><br>
crevice	darz; إ،ekؤپf<br><br>
crew	xadame; xadame-ye keإ،ti<br><br>
crib	ؤپxor; daledozdi; fؤپheإ،exؤپne<br><br>
cricket	jirjirak<br><br>
cried	ة،eriste<br><br>
crier	dastforuإ،<br><br>
cries	إ،ivan<br><br>
crime	beze; ة،onؤپh; jenؤپyat (jenؤپyؤپt); jerؤپ; jorm; jorm (jarؤپyem); tabahkؤپri; yarؤپyem; yenؤپyat<br><br>
crime movie	film-e jenؤپyi; film-e polisi<br><br>
crimes	yenؤپyؤپt<br><br>
criminal	bezehkؤپr; jؤپni; jazؤپyi; jenؤپyatkؤپrؤپne; jenؤپyi; keyfari; mojremؤپne; tabahkؤپr; yazؤپyi; yenؤپyatkؤپr; yenؤپyatkؤپrؤپne; yenؤپyi<br><br>
criminal investigation department	edؤپre-ye ؤپgؤپhi<br><br>
criminal law	hoquq-e jazؤپ; hoquq-e keyfari; qؤپnun-e jazؤپ<br><br>
criminal police	polis-e jenؤپyi<br><br>
criminal record	suesؤپbeqe<br><br>
criminality	yenؤپyatkؤپri<br><br>
criminate	mottaham kardan<br><br>
criminologist	jormإ،enؤپs<br><br>
criminology	jormإ،enؤپsi<br><br>
crimp	cin; eqvؤپ kardan; jaâ€™d-e muy<br><br>
crimson	qermez kardan<br><br>
cripple	ؤپjez; colؤپq; eybdؤپr kardan; falaj kardan; lanة،; xamidan; zaminة،ir<br><br>
crippled	nؤپqes<br><br>
