Ісус	Иисус
запляскаць	захлопать; сплюснуть, сплющить
запляснець	заплесневеть
заплятацца	заплетаться
заплятаць	заплетать
запнуцца	запнуться
запозна	слишком поздно
запознены	запоздалый
запозьнены	см. запознены
запой	запой
заполле	заполье
запольле	см. заполле
запомнены	запомненный
запомніцца	запомниться
запомніць	запомнить
запона	полость
запор	запор
запоўнены	заполненный
запоўніцца	заполниться
запоўніць	заполнить
заправадзіць	заслать, услать, упрятать
заправіць	заправить
запрагаць	запрягать
запраграмаваны	запрограммированный
запраектаваны	запроектированный; спроектированный
запраектаваць	запроектировать; спроектировать
запражны	упряжной
запрамяніцца	начать лучиться, светиться
запраны	слишком пряный
запрапанаваны	предложенный
запрапанаваць	предложить
запрасаваць	загладить, заутюжить, запрессовать
запраста	запросто
запрасці	начать прясть
запрасіць	пригласить, позвать; запросить
запратэставаць	запротестовать
запрацаваць	заработать
запрацівіцца	воспротивиться
запрашальнік	пригласительный билет
запрашаць	приглашать
запрашэнне	приглашение
запрашэньне	см. запрашэнне
запраўдны	настоящий, действительный; правдивый
запраўды	по-настоящему, действительно; по правде
запраўка	заправка
запраўлены	заправленный
запраўляцца	заправляться
запраўляць	заправлять
запраўшчык	заправщик
запрос	запрос
запрошаны	запрошенный
запрошваць	запрашивать
запруда	запруда
запруджаны	запруженный
запрыгоньванне	закрепощение
запрыгоньваньне	см. запрыгоньванне
запрыгоніць	закрепостить
запрыкмеціць	заприметить
запрэгчы	запрячь
запрэжаны	запряжённый
запрэжка	упряжка, запряжка
запужаць	запугать
запунсавець	заалеть, зардеться
запуск	сухостой; запуск
запусканне	запускание, запуск
запусканьне	см. запусканне
запускацца	запускаться
запускаць	запускать
запускі	заговенье
запуставаць	запустеть
запусцелы	запустелый
запусценне	запустение
запусціць	запустить
запусьцелы	см. запусцелы
запусьценьне	см. запусценне
запусьціць	см. запусціць
запушчаны	запущенный
запхаць	запихать, заткнуть
запхнуты	запихнутый, заткнутый
запхнуць	запихнуть, заткнуть
запылены	запылённый
запынены	приостановленный; остановленный; задержанный
запыняцца	приостанавливаться; останавливаться; задерживаться
запыняць	приостанавливать; останавливать; задерживать
запыніцца	приостановиться; остановиться; задержаться
запыніць	приостановить; остановить; задержать
запырскаць	забрызгать
запырскваць	забрызгивать
запырхаць	зафыркать
запыт	запрос
запытанне	зарос, запрашивание; спрос, спрашивание
запытаны	запрошенный; спрошенный
запытаньне	см. запытанне
запытацца	спросить, узнать
запытаць	спросить, запросить
запытваць	запрашивать, спрашивать
запытлівы	вопросительный
запыханы	задыхавшийся
запыхкаць	запыхтеть
запэленгаваць	см. запеленгаваць
запэцканы	запачканный
запэцкацца	запачкаться
запэцкаць	запачкать, испачкать, замазать, замарать
запэўненне	заверение, уверение
запэўненьне	см. запэўненне
запэўніванне	заверение, уверение
запэўніваньне	см. запэўніванне
запэўніваць	заверять, уверять; убеждать
запэўніцца	заверить, увериться; убедиться
запэўніць	заверить, уверить; убедить
запявала	запевала
запяканка	запеканка
запярэсціцца	запестреть
запярэсціць	запестрить
запярэсьціць	см. запярэсціць
запярэчанне	возражение
запярэчаньне	см. запярэчанне
запярэчнік	возражающий, спорщик
запярэчыць	возразить
запясце	запястье
запясьце	см. запясце
запячатаны	запечатанный
запячатваць	запечатывать
запівацца	запиваться
запіваць	запивать
запінка	запонка
запіс	запись
запісаны	записанный
запісаць	записать
запісвацца	записываться
запісваць	записывать
запіска	записка
запіхваць	запихивать, засовывать
запіхнуты	запихнутый, засунутый
запіхнуць	запихнуть, засунуть
зара	заря
зарабляць	зарабатывать
заработак	заработок
заработны	заработный
зарабіць	заделать, заработать
зарагатаць	захохотать
зарад	заряд
зараджанне	заряжание, зарядка, подзарядка
зараджаны	заряженный
зараджаньне	см. зараджанне
зараджаць	заряжать
зараджэнне	заряжение, зарядка, подзарядка
зараджэньне	см. зараджэнне
зарадзіцца	зарядиться
зарадзіць	зарядить
зарадка	зарядка
заражальнасць	заразительность
заражальнасьць	см. заражальнасць
заражаны	заражённый
заражэнне	заражение
заражэньне	см. заражэнне
зараз	сейчас
зараза	зараза
заразлівы	заразительный
заразны	заразный
заразом	в то же время
заразіцца	заразиться
заразіць	заразить
заракацца	зарекаться
зарана	преждевременно, слишком рано
заранак	заря
заранка	малиновка
зарапад	звездопад
зараснік	заросль, поросль, кустарник
зарастаць	зарастать
зарасці	зарасти
зарасьнік	см. зараснік
зарасьці	см. зарасці
зарачыся	заречься
зарганізаванне	организация
зарганізаваны	организованный
зарганізаваньне	см. зарганізаванне
зарганізаваць	организовать
заржавелы	заржавелый
заржавець	заржаветь
заржаць	заржать
зарніца	зарница; льнянка
заробак	заработок, заработная плата
зароблены	заделанный, заработанный
заробны	заработный
зародак	зародыш; зачаток
зародкавы	зародышевый, зачаточный
зарок	зарок
зарослы	заросший
зарохкаць	захрюкать
зарплата	зарплата
зарубка	зарубка
зарубіць	подрубить, обрубить; зарубить
заружавець	зарозоветь, покраснеть
зарука	поручительство, гарантия, залог
зарумзаць	заплакать, зареветь
зарумяніцца	зарумяниться
зарунелы	зазеленевший
зарунець	зазеленеть
заручальны	обручальный
заручаны	обручённый
заручоны	обручённый
заручыны	помолвка
заручыць	обручить, помолвить; сговорить
зарыбляць	зарыблять
зарыва	зарево
зарыгінальнічаць	соригинальничать
зарыентаваны	сориентированный
зарыентавацца	сориентироваться
зарыкаць	замычать, зареветь, зарычать
зарын	зарин
зарыпаць	заскрипеть, проскрипеть
зарысаваны	зарисованный
зарэгістраваны	зарегистрированный
зарэгістравацца	зарегистрироваться
зарэгістраваць	зарегистрировать
зарэестравацца	зарегистрироваться
зарэзацца	зарезаться
зарэзаць	зарезать
зарэзерваваць	зарезервировать
зарэзэрваваць	см. зарэзерваваць
зарэкамендаваць	зарекомендовать
зарэкамэндаваць	см. зарэкамендаваць
зарэчча	заречье
засаб	подряд
засада	насаждение; засада
засаджваць	засаживать, насаждать
засадзіць	засадить, насадить
засакатаць	застрекотать, затрещать
засакрэціць	засекретить
засакрэчаны	засекреченный
засаладзіць	засластить
засаліць	засолить
засарамаціць	застыдить, устыдить
засаромецца	застыдиться, смутиться, застесняться
засароміць	устыдить, смутить
засаўка	засов, задвижка
засваволіць	начать шалить, проказничать, начать своевольничать
засваенне	усвоение; освоение
засваеньне	см. засваенне
засваяльнасць	усвояемость
засваяльнасьць	см. засваяльнасць
засваяльны	усвояемый
засведчаны	засвидетельствованный, удостоверенный, заверенный
засведчыць	засвидетельствовать, удостоверить, заверить
засвоены	освоенный, усвоенный
засвойвацца	осваиваться, усваиваться
засвойваць	осваивать, усваивать
засвоіць	освоить, усвоить
засвярбець	зачесаться, начать зудеть
засвяціцца	засветиться
засвяціць	засветить
засвідраваць	засверлить
засвістаць	засвистать
засевак	запашка
заседжвацца	засиживаться
заседзецца	засидеться
засек	закром
заселенасць	заселённость; населённость
заселенасьць	см. заселенасць
заселены	заселённый; населённый
засень	затенённое место
засесці	засесть
засесьці	см. засесці
засечка	засечка, зарубка
засеяны	засеянный; посеянный
засеяць	засеять
засеў	засев, посев
засеўкі	начало сева
заскавытаць	завизжать, заскулить
заскародзіць	забороновать
заскарузлы	огрубелый, засохший
заскварваць	заправлять жареным салом
заскварыць	заправить жареным салом
заскладаны	слишком сложный
заскок	заскок
заскокваць	заскакивать
заскочыць	заскочить
заскрыгатаць	заскрежетать
заскрэбці	заскрести
заскуголіць	завыть, заскулить
заслабы	слишком слабый
засланка	заслонка
засланы	засланный, застланный, застеленный
засланяцца	заслоняться
засланяць	заслонять
засланіцца	заслониться
засланіць	заслонить
заслаць	заслать, застлать, застелить
заслеплены	ослеплённый
заслон	заслон; скамейка, скамья
заслона	завеса; занавес; пелена
заслонены	заслонённый
заслуга	заслуга
заслугоўваць	заслуживать
заслужана	заслужено
заслужаны	заслуженный
заслужыць	заслужить
заслуханы	заслушанный
заслухацца	заслушаться
заслухаць	заслушать
заслізгацець	заскользить
заслізгаць	заскользить
заслінены	заслюнявленный
засмаглы	засохший, иссохший, пересохший
засмагнуць	высохнуть, пересохнуть
засмажваць	зажаривать
засмажыць	зажарить
засмактаць	засосать
засмалены	обожжённый, опалённый; окуренный
засмаліць	обжечь, опалить; закурить
засмеціць	засорить, замусорить
засмечанасць	загрязнённость
засмечаны	загрязнённый
засмужаны	затянутый дымкой, дымчатый
засмужыць	затянуть, подёрнуть дымкой, мглой
засмуткаваць	загрустить, затосковать, запечалиться
засмуціцца	опечалиться, огорчиться, удручиться
засмуціць	опечалить, огорчить, удручить
засмучанасць	печаль, огорчение
засмучанасьць	см. засмучанасць
засмучаны	опечаленный, огорчённый, удручённый
засмучацца	опечаливаться, огорчаться, удручаться
засмучаць	опечаливать, огорчать, удручать
засмучэнне	печаль, огорчение, грусть, уныние
засмучэньне	см. засмучэнне
засмылець	начать саднить, начать жечь, затлеть
засмярдзець	завонять, запахнуть неприятно
засмяяць	засмеять, осмеять
заснавальнік	основатель
заснавальніца	основательница
заснаванне	основание
заснаваны	основанный
заснаваньне	см. заснаванне
заснаваць	основать, организовать
заснежаны	заснеженный
заснежыцца	покрыться снегом
засноўвацца	основываться
засноўваць	основывать
заснулы	заснувший
заснуць	заснуть
засня	ставня
засол	засол, засолка
засос	засос
засохлы	засохший, иссохший, пересохший
засохнуць	засохнуть, высохнуть, пересохнуть
засоўваць	засовывать
заспакаяльны	успокаивающий
заспакоенасць	успокоенность
заспакоенасьць	см. заспакоенасць
заспакойлівы	успокоительный
заспакоіць	успокоить, утешить
заспаны	заспанный
заспаць	заспать
заспеты	застигнутый
заспець	застать, застичь, застигнуть
заспрачацца	заспорить
заспяваць	запеть
заспіртаваны	заспиртованный
застава	застава
заставацца	оставаться
заставіць	заставить; принудить
застагнаць	застонать
засталы	оставшийся
застары	слишком старый, староватый
застарэлы	застарелый, устаревший
застацца	остаться
застаялы	застоялый
застаўка	щит
застаўлены	заставленный
застой	застой
застойвацца	застаиваться
застойны	застойный
застолле	застолье
застольле	см. застолле
застоліца	застолье
застоліць	подшить потолок
застрагнуць	застрять
застракацець	запестреть
застраміць	занозить
застрахаваны	застрахованный
застрахавацца	застраховаться
застрашальны	устрашительный, устрашающий
застрашаны	испуганный, устрашённый
застрашванне	запугивание, устрашение
застрашваньне	см. застрашванне
застрашыць	запугать, устрашить
застрашэнне	запугивание, устрашение
застрашэньне	см. застрашэнне
застругваць	застругивать
заструменіць	заструиться
застрэлены	застреленный
застрэліцца	застрелиться
застрэліць	застрелить
застрэшак	застреха
застуджаны	застуженный; простуженный
застудзіць	застудить; простудить
заступ	заступ
заступацца	заступаться
заступаць	заступать
заступнік	заступник
заступніца	заступница
заступніцтва	заступничество
заступіцца	заступиться
заступіць	занять, приступить, преградить, загородить
застываць	застывать; остывать
застылы	застывший
застыць	застыть
застэнаграфаваны	застенографированный
застэнаграфаваць	застенографировать
засуджаны	засуженный
засудзіць	засудить
засумаваць	загрустить, приуныть, заскучать, затосковать
засумнявацца	засомневаться
засунуць	засунуть
засупоньваць	засупонивать
засуха	засуха
засухаўстойлівы	засухоустойчивый
засцежка	застёжка
засценак	закут; застенок, задняя комната, место между двух стен; хутор, однодворок
засцерагальны	предохранительный, защитный
засцерагальнік	предохранитель
засцерагацца	предохраняться, защищаться, предостерегаться
засцерагаць	предохранять, защищать, предостерегать
засцерагчы	предохранить, защитить, предостеречь
засцябаць	захлестать, застегать
засцянковы	застеночный
засцярога	предохранение, предосторожность, предостережение
засцярожлівы	осмотрительный, осторожный
засцілаць	застилать, устилать
засціць	скрывать
засынанне	засыпание
засынаньне	см. засынанне
засынаць	засыпать, погружаться в сон
засыпаны	засыпанный
засыпаць	засыпать
засыханне	засыхание
засыханьне	см. засыханне
засьведчаны	см. засведчаны
засьведчыць	см. засведчыць
засьвярбець	см. засвярбець
засьвяціцца	см. засвяціцца
засьвяціць	см. засвяціць
засьлеплены	см. заслеплены
засьлізгацець	см. заслізгацець
засьлізгаць	см. заслізгаць
засьлінены	см. заслінены
засьмеціць	см. засмеціць
засьмечанасьць	см. засмечанасць
засьмечаны	см. засмечаны
засьмярдзець	см. засмярдзець
засьмяяць	см. засмяяць
засьнежаны	см. заснежаны
засьня	см. засня
засьпеты	см. заспеты
засьпець	см. заспець
засьпяваць	см. заспяваць
засьпіртаваны	см. заспіртаваны
засьцежка	см. засцежка
засьценак	см. засценак
засьцерагальны	см. засцерагальны
засьцерагальнік	см. засцерагальнік
засьцерагацца	см. засцерагацца
засьцерагаць	см. засцерагаць
засьцерагчы	см. засцерагчы
засьцябаць	см. засцябаць
засьцянковы	см. засцянковы
засьцярога	см. засцярога
засьцілаць	см. засцілаць
засьціць	см. засціць
засявацца	засеваться
засяваць	засевать
засядацель	заседатель
засядаць	заседать
засядлаць	оседлать
засякаць	отмечать, засекать; помечать, делать зарубку
засяленне	заселение
засяленьне	см. засяленне
засяляцца	заселяться
засяляць	заселять
засяліцца	заселиться
засяліць	заселить
засяроджана	сосредоточенно
засяроджанасць	сосредоточенность
засяроджанасьць	см. засяроджанасць
засяроджанне	сосредоточение
засяроджаны	сосредоточенный
засяроджаньне	см. засяроджанне
засяроджванне	сосредоточивание
засяроджваньне	см. засяроджванне
засяроджвацца	сосредотачиваться
засяроджваць	сосредотачивать
засяродзіцца	сосредоточиться
засяродзіць	сосредоточить
засівераць	обветриться, потрескаться
засілле	засилье
засільвацца	оканчивать жизнь самоубийством
засільле	см. засілле
засіліцца	покончить жизнь самоубийством
засінены	засиненный
затаварванне	затоваривание
затаварваньне	см. затаварванне
затанулы	затонувший, утонувший
затануць	затонуть, утонуть
затанцаваць	затанцевать
затапленне	затопление
затапленьне	см. затапленне
затапляць	затоплять
затаптаны	затоптанный
затаптаць	затоптать
затапіць	затопить
затармазіцца	затормозиться
затармазіць	затормозить
затарможаны	заторможенный
затахкаць	застучать, забиться
заташчыцца	затащиться
заташчыць	затащить
затаіцца	затаиться
затаіць	затаить
затаўчы	заправить, сдобрить
затвор	затвор
заткала	затычка
затканы	затканный
заткнуты	заткнутый, закупоренный
заткнуцца	заткнуться, закупориться
заткнуць	заткнуть, закупорить
затлуменне	морока
затлуменьне	см. затлуменне
затлумёны	замороченный, задуренный
затлуміцца	замучаться, замаяться
затлуміць	заморочить, задурить
затлусціць	засалить
затое	зато
затоена	затаённо
затоенасць	затаённость
затоенасьць	см. затоенасць
затоены	затаённый, скрытый, тайный
затойвацца	затаиваться
затойваць	затаивать, утаивать
затока	залив, заводь, затон
затон	затон
затоплены	затопленный
затор	затор
заторгаць	задёргать
заторкнуць	заткнуть, воткнуть
заточаны	заточенный
затрамбаваны	затрамбованный, утрамбованный
затрапятаць	затрепетать, замерцать
затрата	затрата
затраціць	затратить
затрачаны	затраченный
затрашчаць	затрещать
затрубіць	затрубить
затрывожыцца	забеспокоиться
затрызніць	забредить, начать бредить
затрыманне	задержание
затрыманы	задержанный
затрыманьне	см. затрыманне
затрымацца	задержаться
затрымаць	задержать, замедлить
затрымвацца	задерживаться
затрымваць	задерживать
затрымка	задержка, остановка, замедление, заминка
затрымлівацца	задерживаться
затрымліваць	задерживать
затрымцець	затрепетать, задрожать, замерцать, замелькать
затрэсціся	затрястись
затрэсьціся	см. затрэсціся
затузать	задёргать, издёргать
затузацца	изнемочь, измучиться, издёргаться
затуляць	закрывать, прикрывать, укрывать
затуліцца	закрыться, прикрыться, укрыться
затуліць	закрыть, прикрыть, укрыть
затуманены	затуманенный
затуманіць	затуманить
затупаць	затопать, застучать ногами
затупы	слишком тупой, туповатый
затуханне	затухание
затуханьне	см. затуханне
затухнуць	затухнуть
затушаваць	затушевать
затушоўваць	затушевывать
затушыць	затушить, потушить
затхласць	затхлость
затхласьць	см. затхласць
затхлы	затхлый
затыкаць	затыкать; начинать ткать, покрывать тканым узором
затым	потом
затынкаваны	заштукатуренный, оштукатуренный
затынкаваць	заштукатурить, оштукатурить
затэлефанаваць	позвонить по телефону
зафанабэрыцца	зачваниться, зазнаться
зафарбаваць	закрасить
зафарбоўка	закраска
зафастрыгаваць	заметать
зафрахтаваны	зафрахтованный
зафундаваць	основать; обеспечить
зафіксаваны	зафиксированный
зафіксаваць	зафиксировать
захавальнасць	сохранность
захавальнасьць	см. захавальнасць
захавальнік	хранитель
захавальніца	хранительница
захаванасць	сохранность
захаванасьць	см. захаванасць
захаванне	сохранение, охранение, охрана
захаваны	сохранённый, охранённый
захаваньне	см. захаванне
захавацца	сохраниться, сберечься
захаваць	сохранить, сберечь; запрятать, упрятать; соблюсти
захад	запад, заход; закат
захады	меры, шаги
захаладаць	похолодать
захалануць	охватить; поглотить
захамутаць	захомутать
захапленне	увлечение; страсть, восторг, восхищение
захапленьне	см. захапленне
захапляльнасць	увлекательность
захапляльнасьць	см. захапляльнасць
захапляльны	увлекательный, захватывающий, неотразимый
захапляцца	увлекаться
захапляць	увлекать
захапіцца	увлечься, пристраститься, плениться, влюбиться
захапіць	захватить; увлечь, застичь, застигнуть
захацець	захотеть, пожелать
захвалявацца	заволноваться; смутиться
захварэць	заболеть
захвастаць	начать хлестать; засечь, захлестать
захворванне	заболевание
захворваньне	см. захворванне
захворваць	заболевать
захлынацца	захлёбываться
захлынуцца	захлебнуться
захліпнуцца	захлебнуться
захліснуць	захлестнуть
захмарыцца	покрыться облаками
захмарыць	покрыть облаками
захмурыць	омрачить, помрачить
захмялелы	захмелевший, охмелевший
захмялець	захмелеть, охмелеть
заход	заход; закат
заходзіцца	заходить; заходиться
заходзіць	заходить
заходні	западный
заходнік	западник
захожы	прихожий
захоп	захват
захоплена	увлечённо
захопленасць	увлечённость
захопленасьць	см. захопленасць
захоплены	захваченный; увлечённый; застигнутый; восхищённый, пленённый
захопліваць	захватывать; увлекать; застигать; восхищать, пленять
захопнік	захватчик
захопніцкі	захватнический
захоўванне	хранение
захоўваньне	см. захоўванне
захоўвацца	храниться, сохраняться
захоўваць	хранить, сохранять, беречь
захрабусцець	захрустеть
захрабусьцець	см. захрабусцець
захрапці	захрапеть
захраснуць	засориться, закупориться, застрять
захрумстаць	захрустеть
захутаны	закутанный, укутанный, завёрнутый
захутаць	закутать, укутать, завернуть
захутвацца	закутываться, укутываться, заворачиваться
захутка	слишком быстро
захіліць	загнуть, завернуть, заслонить, закрыть
захінаць	защищать, укрывать
захінуцца	защититься, укрыться
захінуць	запахнуть, задёрнуть, укутать, завернуть, окутать
захістацца	закачаться, зашататься; пошатнуться, заколебаться
захістаць	закачать, зашатать, поколебать
захіхікаць	захихикать
зацверджанне	утверждение
зацверджаны	утверждённый
зацвердзяванне	затвердевание
зацвердзіць	утвердить
зацвыркаць	зачирикать, застрекотать
зацвяліць	задразнить
зацвярджацца	утверждаться
зацвярджаць	утверждать
зацвярджэнне	утверждение
зацвікаваць	загвоздить, пригвоздить, прибить гвоздями
зацвілы	заплесневелый
зацвісці	зацвести; заплесневеть
зацвітанне	зацветание
зацвітаць	расцветать
зацеклы	затёкший, отёкший
зацемка	заметка
зацемлены	замеченный, отмеченный
зацемна	затемно
зацемнены	затемнённый
зацемы	идеи, мысли; заметки
зацеміць	отметить, упомянуть
заценены	затенённый
зацень	затенённое место
зацерушыць	присыпать, обсыпать; запорошить
зацерці	затереть
зацесна	тесновато, слишком тесно
зацесны	слишком тесный, тесноватый
зацкаваны	затравленный
зацкаваць	затравить
зацугляны	занузданный, взнузданный
зацугляць	зануздать, взнуздать
зацукраваць	засахарить
зацурчаць	зажурчать
зацурчэць	зажурчать
зацыклены	зацикленный
зацыклівацца	зацикливаться
зацыраваць	заштопать
зацьверджаны	см. зацверджаны
зацьверджаньне	см. зацверджанне
зацьвердзяваньне	см. зацвердзяванне
зацьвердзіць	см. зацвердзіць
зацьвяліць	см. зацвяліць
зацьвярджацца	см. зацвярджацца
зацьвярджаць	см. зацвярджаць
зацьвярджэньне	см. зацвярджэнне
зацьвікаваць	см. зацвікаваць
зацьвілы	см. зацвілы
зацьвісьці	см. зацвісці
зацьвітаньне	см. зацвітанне
зацьвітаць	см. зацвітаць
зацьменне	затмение
зацьменьне	см. зацьменне
зацьміць	затмить; затемнить
зацэментаваць	зацементировать
зацяганы	затасканный
зацягаць	затаскать
зацягвацца	затягиваться; втягиваться; затаскиваться
зацягваць	затягивать; втягивать; затаскивать
зацягнуты	затянутый; втянутый; затащенный
зацягнуцца	затянуться; втянуться; затащиться
зацягнуць	затянуть; втянуть; затащить, втащить; подёрнуть; замедлить
зацяжараць	забеременеть
зацяжка	затяжка, трудновато
зацяжны	затяжной
зацякаць	затекать, отекать
зацямненне	затемнение
зацямненьне	см. зацямненне
зацямняць	затемнять
зацяняць	затенять
зацяпліць	утеплить
зацярушваць	присыпать, обсыпать; припорашивать
зацята	упорно, настойчиво; люто; затаённо
зацятасць	упорство, настойчивость; затаённость
зацятасьць	см. зацятасць
зацяты	упорный, настойчивый; лютый
зацяцца	заупрямиться; запереться, затаить злобу
зацяць	отняться
зацёпла	слишком тепло
зацёрты	затёртый
зацёхкаць	защёлкать
зацікавіцца	заинтересоваться
зацікавіць	заинтересовать
зацікаўлена	заинтересованно
зацікаўленасць	заинтересованность
зацікаўленасьць	см. зацікаўленасць
зацікаўленне	заинтересованность, интерес
зацікаўлены	заинтересованный
зацікаўленьне	см. зацікаўленне
зацінацца	упорствовать, запираться, упрямиться
зацірацца	затираться
заціраць	затирать
зацірка	мучная похлёбка
заціск	зажим
зацісканы	зажатый
заціскаць	зажимать
заціснуты	зажатый
заціснуць	зажать
заціхаць	затихать
заціхнуць	затихнуть
зацішак	затишье, затишек, укромное место
зацішна	тихо, укромно; безветренно, подветренно
зацішны	тихий, укромный; безветренный, подветренный
зацішша	затишье
заціўкаць	зачирикать, запищать
зачакацца	заждаться
зачапіцца	зацепиться; задеть; споткнуться; связаться; затронуть
зачапіць	зацепить; задеть
зачараванне	очарование, восхищение, упоение
зачараваны	очарованный, восхищённый, упоённый
зачараваць	очаровать, околдовать, заколдовать, заворожить, восхитить, пленить
зачарвівець	очервиветь
зачароўваць	очаровывать
зачарпнуць	зачерпнуть
зачарсцвелы	почерствевший
зачарсцвець	почерстветь
зачарсьцьвелы	см. зачарсцвелы
зачарсьцьвець	см. зачарсцвець
зачаста	слишком часто
зачаставаць	запотчевать
зачатак	зачаток; зародыш
зачаткавы	зачаточный; зародышевый
зачацца	начаться; зачаться
зачаўрэць	зачахнуть, захиреть
зачмурыць	обдурить, одурманить, заморочить, одурачить
зачмыхаць	зафыркать
зачын	задел
зачынальнік	начинатель, зачинатель
зачынацца	зачинаться; начинаться
зачынаць	зачинать; начинать
зачынены	закрытый, запертый
зачыншчык	зачинщик
зачыняцца	закрываться, запираться, захлопываться
зачыняць	закрывать, запирать, захлопывать
зачыніць	закрыть, запереть, захлопнуть
зачырванецца	покраснеть
зачырванець	закраснеть, заалеть
зачырваніць	сделать красным
зачыстка	зачистка
зачытаны	зачитанный
зачытацца	зачитаться
зачытвацца	зачитываться
зачышчаць	зачищать
зачэпка	зацепка, предлог, повод
зачэплены	зацепленный
зачэпліванне	зацепление; сцепление
зачэпліваньне	см. зачэпліванне
зачэпшчык	сцепщик
зачэрпваць	зачерпывать
зачэсванне	причёсывание
зачэсваньне	см. зачэсванне
зашаляваць	обшить
зашамацець	зашелестеть, зашуршать
зашаптаць	зашептать
зашараваць	начать тереть
зашарэць	посереть, стать серым
зашастаць	зашуршать, зашелестеть, прошелестеть
зашкаліць	зашкалить
зашклёны	застеклённый, остеклённый
зашкліць	застеклить, остеклить
зашкодзіць	повредить, помешать
зашкрабаць	заскрести, зацарапать, зашаркать
зашліфоўвацца	зашлифовываться
зашмальцаваны	замусоленный
зашмальцаваць	замусолить
зашмарга	затяжная петля
зашмаргнуць	задёрнуть, захлестнуть
зашмат	слишком много, многовато
зашморганы	задёрганный; зашарканный; зашмыганный
зашморгаць	задёргать; зашаркать; зашмыгать
зашморгвацца	задёргиваться; зашаркиваться
зашморгваць	задёргивать; зашаркивать
зашмулены	вытертый, обтёртый
зашмуляць	вытереть, обтереть; заносить
зашоргаць	зашаркать
зашпурнуць	зашвырнуть
зашпілены	застёгнутый
зашпільваць	застёгивать
зашпілька	застёжка, петля
зашпіліць	застегнуть
зашрубаваць	завинтить
зашрубоўваць	завинчивать
заштабнаваць	застрочить, прошить
заштампаваны	заштампованный
заштораны	зашторенный
заштукаваць	заделать
заштурхаць	затолкать
зашугаць	заполыхать, запылать; запугать
зашумець	зашуметь
зашурпацець	стать шероховатым, шершавым
зашчаміць	защемить, прищемить
зашчапка	защёлка, крючок
